mode,pedal,temp,latitude,longitude,altitude,speed,total_distance,elapsed_time
0,0,0,13.65145,100.495,-19.8,0,0,0.895532
0,0,0,13.65145,100.495,-19.7,0,0,1.289068
0,0,0,13.65145,100.495,-19.7,0,0,1.879664
0,0,0,13.65145,100.495,-19.7,0,0,2.308268
0,0,0,13.65145,100.495,-19.7,0,0,2.898872
0,0,0,13.65145,100.495,-19.3,0,0,3.297756
0,0,0,13.65145,100.495,-19.3,0.35188,0.000208,3.888396
0,0,0,13.65145,100.495,-19.3,0.35188,0.000347,4.28496
0,0,0,13.65145,100.495,-19.3,0,0.000347,4.875512
0,0,0,13.65145,100.495,-19.3,0,0.000347,5.285008
0,0,0,13.65145,100.495,-19.3,0,0.000347,5.8756
0,0,0,13.65145,100.495,-19.3,0,0.000347,6.317928
0,0,0,13.65145,100.495,-19.3,0,0.000347,6.908512
0,0,0,13.65145,100.495,-19.6,0,0.000347,7.322388
0,0,0,13.65145,100.495,-19.6,0.0926,0.000402,7.913016
0,0,0,13.65145,100.495,-19.6,0.0926,0.000438,8.295899
0,0,0,13.65145,100.495,-19.6,0,0.000438,8.886443
0,0,0,13.65145,100.495,-19.6,0,0.000438,9.306543
0,0,0,13.65145,100.495,-19.6,0,0.000438,9.897131
0,0,0,13.65145,100.495,-19.6,0,0.000438,10.29533
0,0,0,13.65145,100.495,-19.6,0,0.000438,10.88591
0,0,0,13.65144,100.495,-19.4,0,0.000438,11.30953
0,0,0,13.65144,100.495,-19.4,0.3704,0.000656,11.90016
0,0,0,13.65143,100.495,-18.7,0.3704,0.000806,12.30348
0,0,0,13.65143,100.495,-18.7,0.62968,0.001178,12.89407
0,0,0,13.65143,100.495,-19,0.62968,0.001439,13.30897
0,0,0,13.65143,100.495,-19,0,0.001439,13.90161
0,0,0,13.65143,100.495,-19.1,0,0.001439,14.30318
0,0,0,13.65143,100.495,-19.1,0,0.001439,14.89585
0,0,0,13.65143,100.495,-19.2,0,0.001439,15.3113
0,0,0,13.65143,100.495,-19.2,0,0.001439,15.90398
0,0,0,13.65143,100.495,-19.3,0,0.001439,16.30976
0,0,0,13.65143,100.495,-19.3,0,0.001439,16.90244
0,0,0,13.65143,100.495,-19.3,0,0.001439,17.30503
0,0,0,13.65143,100.495,-19.3,0,0.001439,17.89771
0,0,0,13.65143,100.495,-20.1,0,0.001439,18.32012
0,0,0,13.65143,100.495,-20.1,0.44448,0.001702,18.91284
0,0,0,13.65143,100.495,-19.9,0.44448,0.001873,19.2977
0,0,0,13.65143,100.495,-19.9,0,0.001873,19.89034
0,0,0,13.65143,100.495,-19.7,0,0.001873,20.29266
0,0,0,13.65143,100.495,-19.7,0,0.001873,20.88533
0,0,0,13.65143,100.495,-19.6,0,0.001873,21.29349
0,0,0,13.65143,100.495,-19.6,0,0.001873,21.88617
0,0,0,13.65143,100.495,-19.7,0,0.001873,22.29667
0,0,0,13.65143,100.495,-19.7,0,0.001873,22.88934
0,0,0,13.65143,100.495,-19.7,0,0.001873,23.30239
0,0,0,13.65143,100.495,-19.7,0,0.001873,23.89507
0,0,0,13.65143,100.495,-19.7,0,0.001873,24.30317
0,0,0,13.65143,100.495,-19.7,0,0.001873,24.89584
